,Mtb Area (Âµm),ID,Acquisition ID,Compound,Concentration,Strain
917609,7.553780185499112,1299.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
917721,0.0,1312.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
918058,0.0,1788.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
918356,65.07872159814619,1842.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
918442,0.0,1850.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
918527,8.201885223388672,1852.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
918681,0.0,2074.5.3.ND0002,"(5, 3)",CTRL,EC0,RD1
919013,3.441663161440424,107.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
919642,13.789000511169434,47.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
919792,0.0,12.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
920221,0.0,54.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
920563,0.0,339.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
920704,0.0,482.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
920968,142.56083965473027,617.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
921754,0.0,1228.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922372,37.6348101549719,1632.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922465,4.782570838928223,1620.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922557,24.6056567580903,1657.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922707,4.380298569105994,1891.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922785,0.0,1919.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922862,0.0,1958.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
922938,2.949996995520363,1973.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
923012,9.453399462917528,2003.5.4.ND0002,"(5, 4)",CTRL,EC0,RD1
923323,1.720831580720212,212.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
923577,0.0,206.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
923727,5.497721673469767,32.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
923877,0.6704538626182643,9.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
924355,11.308321816161392,256.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
924504,0.0,266.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
924866,0.0,660.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
925082,0.0,682.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
925504,9.431051000830251,1122.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
925691,526.8202967833448,1529.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926035,9.78862639422666,1843.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926129,0.0,1861.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926293,0.0,2091.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926376,7.732567882197316,2125.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926524,19.46551047801694,2236.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926598,0.0,2324.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926672,70.174170954045,2311.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926745,5.408327825120666,2337.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926815,16.493165020409304,2415.5.5.ND0002,"(5, 5)",PZA,EC50,RD1
926964,0.0,100.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927114,15.509832688569182,117.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927264,0.0,80.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927414,0.0,86.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927564,0.0,93.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927714,0.0,97.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
927864,0.0,147.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
928140,0.0,145.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
928290,0.0,149.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
928654,0.0,26.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
929053,0.0,45.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
929426,0.0,378.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
929635,0.0,565.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930074,23.532930577901077,702.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930199,0.0,723.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930315,0.0,903.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930431,0.0,894.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930547,15.263999605609152,888.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930742,0.0,974.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
930847,53.03290053310471,1086.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931046,2.9723454576076387,1178.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931141,22.03558361805362,1239.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931224,0.0,1421.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931300,71.11280636171057,1528.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931374,0.0,1570.5.6.ND0002,"(5, 6)",PZA,EC50,RD1
931524,0.0,21.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
931773,0.0,12.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
931923,0.0,15.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
932144,0.0,19.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
932294,0.0,62.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
932444,2.190149284552997,63.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
933300,0.2011361587854793,604.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
933619,0.0,989.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
933735,0.0,1058.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
933839,59.82683300763645,1312.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934011,4.916661659200605,1333.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934112,0.0,1390.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934361,50.10525199967162,1504.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934447,0.0,1688.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934529,95.27149387805537,1768.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934611,0.0,1766.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934765,0.0,1855.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934841,24.67270214435213,1885.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934917,0.0,1869.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
934992,29.00830378928357,1897.5.7.ND0002,"(5, 7)",RIF,EC50,RD1
935142,23.532930374145508,122.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
935646,71.3586394446706,137.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
935898,0.0,101.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
936048,0.0,171.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
936563,0.0,161.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
936846,2.0784069741166196,23.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
937221,0.0,49.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
937370,0.0,243.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
938014,0.0,710.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
938459,0.0,901.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
938580,9.252263304132049,1031.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
938683,41.52344255815784,1411.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
938861,4.492040879542371,1692.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
939021,0.0,1756.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
939106,0.0,1780.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
939178,12.470441844699717,2023.5.8.ND0002,"(5, 8)",RIF,EC50,RD1
939328,10.97309488485226,84.5.9.ND0002,"(5, 9)",INH,EC50,RD1
939817,44.875709533691406,1.5.9.ND0002,"(5, 9)",INH,EC50,RD1
940039,0.0,31.5.9.ND0002,"(5, 9)",INH,EC50,RD1
940599,0.0,162.5.9.ND0002,"(5, 9)",INH,EC50,RD1
940893,71.33629098258332,241.5.9.ND0002,"(5, 9)",INH,EC50,RD1
941317,0.0,528.5.9.ND0002,"(5, 9)",INH,EC50,RD1
942392,2.8829516092585368,1234.5.9.ND0002,"(5, 9)",INH,EC50,RD1
942571,0.0,1347.5.9.ND0002,"(5, 9)",INH,EC50,RD1
942730,2.435982367513027,1390.5.9.ND0002,"(5, 9)",INH,EC50,RD1
942815,156.46158307301562,1407.5.9.ND0002,"(5, 9)",INH,EC50,RD1
942980,0.0,1440.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943134,125.2184330750045,1532.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943212,0.0,1543.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943289,0.0,1561.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943365,0.0,1567.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943438,12.984456062316895,1610.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943510,0.0,1633.5.9.ND0002,"(5, 9)",INH,EC50,RD1
943660,14.973469598474571,100.5.10.ND0002,"(5, 10)",INH,EC50,RD1
944118,0.0,142.5.10.ND0002,"(5, 10)",INH,EC50,RD1
944514,0.0,148.5.10.ND0002,"(5, 10)",INH,EC50,RD1
944664,23.063612874068294,123.5.10.ND0002,"(5, 10)",INH,EC50,RD1
944814,0.0,14.5.10.ND0002,"(5, 10)",INH,EC50,RD1
945335,0.0,41.5.10.ND0002,"(5, 10)",INH,EC50,RD1
946304,0.0,958.5.10.ND0002,"(5, 10)",INH,EC50,RD1
946802,0.0,1463.5.10.ND0002,"(5, 10)",INH,EC50,RD1
946991,0.0,1505.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947222,0.0,1727.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947306,0.0,1739.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947385,3.039390802383423,1838.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947532,6.8162809366190205,1944.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947602,6.302266308611685,2007.5.10.ND0002,"(5, 10)",INH,EC50,RD1
947752,0.0,78.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
947902,0.0,91.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
948052,0.0,101.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
948202,0.0,98.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
948352,3.4863600730895996,97.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
948720,0.0,92.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
948870,0.0,89.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
949361,0.0,28.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
949785,274.64025059052835,316.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
950341,0.0,471.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
950736,0.0,683.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
950844,4.603783189978748,694.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
950946,0.0,772.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951042,0.0,824.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951130,0.0,929.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951217,0.0,941.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951303,0.8045446276664734,946.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951388,0.0,954.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951471,0.0,978.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951545,0.0,1063.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951617,0.0,1088.5.11.ND0002,"(5, 11)",BDQ,EC50,RD1
951767,0.0,86.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
951917,3.9333293437957764,85.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
952305,5.363630900946115,111.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
952539,0.0,15.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
952689,10.302641022233995,17.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
953134,1.3856046494110796,35.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
953368,14.95112133026123,41.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
953863,0.0,370.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
954183,4.335601644931443,433.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
954312,0.0,425.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
954710,0.0,604.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955059,9.296960228306599,741.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955236,7.084462481666327,766.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955571,5.408327825120666,914.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955660,0.0,985.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955744,0.0,1040.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
955895,0.0,1085.5.12.ND0002,"(5, 12)",BDQ,EC50,RD1
956547,5.050752431724258,123.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
956795,0.0,9.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
957047,41.81397256529242,71.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
957731,0.0,651.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
957934,7.2632501783645305,886.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958053,0.0,924.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958279,86.91316905741434,937.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958391,116.18965439174521,1072.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958567,0.0,1478.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958817,0.0,1660.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
958985,0.0,1719.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
959069,5.564767059731594,1712.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
959218,4.939010121287881,1812.6.4.ND0002,"(6, 4)",CTRL,EC0,RD1
959368,0.0,70.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
959600,0.0,95.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
959750,11.040140151977539,94.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
960007,0.0,78.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
960157,4.782570886676952,21.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
960410,1.8772708153311402,40.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
960739,0.0,276.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
960880,0.0,291.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
961020,107.07148186013681,297.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
961574,0.0,776.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
961687,0.0,775.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
961795,0.0,850.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
961984,0.0,1036.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962071,5.609463983906145,1158.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962157,0.0,1168.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962240,0.0,1203.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962317,0.0,1265.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962459,0.0,1342.6.5.ND0002,"(6, 5)",PZA,EC99,RD1
962609,0.0,105.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
962956,23.108308792114258,91.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
963182,5.520070135557043,96.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
963839,0.0,127.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
963989,0.0,133.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
964220,0.0,139.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
964491,0.0,35.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
964812,4.693177038327851,72.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
964961,0.0,167.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
965109,0.4246207796582341,218.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
965253,47.31169509887695,328.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
965511,0.0,434.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
965723,5.609463983906145,452.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
965939,0.0,583.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966069,0.0,623.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966192,11.442412588685045,746.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966432,0.0,807.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966547,0.0,890.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966831,0.0,1164.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
966928,6.369311694873511,1182.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967022,0.0,1233.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967112,1.4303015735856306,1270.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967200,0.0,1296.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967287,0.0,1328.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967440,0.0,1439.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967516,0.0,1438.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967586,4.849616272938778,1505.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967656,0.0,1499.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
967726,0.0,1496.6.6.ND0002,"(6, 6)",PZA,EC99,RD1
968031,0.0,62.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
968181,0.983332331840121,60.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
968331,0.0,97.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
968878,0.0,16.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969028,16.15793800354004,53.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969178,17.342405319213867,11.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969328,0.0,6.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969478,4.201510906219482,44.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969628,0.0,35.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969766,1.2738623389747024,315.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
969899,6.682190164095368,412.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970098,0.0,496.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970225,0.0,515.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970346,0.0,601.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970462,0.0,681.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970566,0.0,855.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970664,1.966664663680242,923.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970832,0.0,1085.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
970918,0.0,1111.6.7.ND0002,"(6, 7)",RIF,EC99,RD1
971140,0.0,69.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
971363,0.0,103.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
972137,0.0,36.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
972814,0.0,428.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
972944,0.0,541.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
973073,6.1905239981753075,562.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
973307,0.0,629.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
973703,95.71846311980087,760.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
973897,24.91853522731216,765.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974104,14.213621887507204,839.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974281,35.71284241546621,955.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974375,0.0,1150.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974538,0.0,1206.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974611,0.6257569384437134,1468.6.8.ND0002,"(6, 8)",RIF,EC99,RD1
974869,0.0,63.6.9.ND0002,"(6, 9)",INH,EC99,RD1
975244,0.0,87.6.9.ND0002,"(6, 9)",INH,EC99,RD1
975394,0.0,85.6.9.ND0002,"(6, 9)",INH,EC99,RD1
975544,93.39422306272422,84.6.9.ND0002,"(6, 9)",INH,EC99,RD1
975941,15.487483978271484,78.6.9.ND0002,"(6, 9)",INH,EC99,RD1
976577,0.0,7.6.9.ND0002,"(6, 9)",INH,EC99,RD1
976893,0.0,27.6.9.ND0002,"(6, 9)",INH,EC99,RD1
977043,0.0,44.6.9.ND0002,"(6, 9)",INH,EC99,RD1
977193,26.840502966817848,37.6.9.ND0002,"(6, 9)",INH,EC99,RD1
977515,0.0,215.6.9.ND0002,"(6, 9)",INH,EC99,RD1
977653,0.0,336.6.9.ND0002,"(6, 9)",INH,EC99,RD1
977963,4.782570886676952,530.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978085,0.0,545.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978206,0.0,573.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978405,0.0,782.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978504,0.0,817.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978584,3.128784692218567,1045.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978729,0.0,1099.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978804,0.0,1106.6.9.ND0002,"(6, 9)",INH,EC99,RD1
978874,0.0,1153.6.9.ND0002,"(6, 9)",INH,EC99,RD1
979169,0.0,97.6.10.ND0002,"(6, 10)",INH,EC99,RD1
979319,0.0,93.6.10.ND0002,"(6, 10)",INH,EC99,RD1
979469,5.743554592132568,26.6.10.ND0002,"(6, 10)",INH,EC99,RD1
980664,81.16961430098453,934.6.10.ND0002,"(6, 10)",INH,EC99,RD1
980766,7.084462481666327,1036.6.10.ND0002,"(6, 10)",INH,EC99,RD1
980863,0.0,1096.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981042,0.0,1196.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981131,35.757539339640765,1221.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981218,0.0,1249.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981290,16.783695027543885,1444.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981362,0.0,1448.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981433,0.0,1465.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981503,0.0,1475.6.10.ND0002,"(6, 10)",INH,EC99,RD1
981773,1.7431800428074873,69.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
981923,0.0,18.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
982073,0.0,17.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
982713,0.0,194.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
982961,0.0,278.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
983092,0.0,397.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
983222,0.0,419.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
983531,0.0,467.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
983860,0.9162869455782946,494.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984079,0.0,540.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984202,0.0,534.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984443,3.866283941098658,576.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984562,0.514014628007336,607.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984680,3.598102396051352,613.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
984886,1.2738623389747024,657.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985156,1.1844684906256004,784.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985257,0.0,833.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985357,0.0,857.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985548,0.5810600142691624,905.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985776,0.0,1168.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985854,0.0,1167.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
985924,9.900368704663038,1229.6.11.ND0002,"(6, 11)",BDQ,EC99,RD1
986074,0.0,78.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
986326,0.0,73.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
987059,0.0,21.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
987339,0.6257569193840027,7.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
987489,1.2291654148001512,51.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
987716,0.0,33.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
987936,0.0,243.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
988078,12.492790306786992,251.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
988322,0.0,278.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
988866,5.63181244599342,489.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
988984,0.4246207796582341,613.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
989101,0.0,644.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
989302,0.0,753.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
989567,3.0617393059567406,919.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
989661,0.0,929.6.12.ND0002,"(6, 12)",BDQ,EC99,RD1
